Timestamp,Server_ID,CPU_Utilization_%,Memory_Utilization_%,Power_Usage_Watts
2025-11-01 00:00:00,S1,31,65,111
2025-11-01 00:00:00,S2,56,40,84
2025-11-01 00:00:00,S3,33,53,134
2025-11-01 00:05:00,S1,44,85,221
2025-11-01 00:05:00,S2,24,39,131
2025-11-01 00:05:00,S3,34,75,121
2025-11-01 00:10:00,S1,58,76,126
2025-11-01 00:10:00,S2,38,74,120
2025-11-01 00:10:00,S3,66,48,129
2025-11-01 00:15:00,S1,33,74,98
2025-11-01 00:15:00,S2,31,41,148
2025-11-01 00:15:00,S3,76,40,140
2025-11-01 00:20:00,S1,67,30,89
2025-11-01 00:20:00,S2,60,44,135
2025-11-01 00:20:00,S3,27,38,83
2025-11-01 00:25:00,S1,70,49,140
2025-11-01 00:25:00,S2,32,35,101
2025-11-01 00:25:00,S3,57,40,139
2025-11-01 00:30:00,S1,32,84,110
2025-11-01 00:30:00,S2,49,65,123
2025-11-01 00:30:00,S3,29,43,89
2025-11-01 00:35:00,S1,34,31,18
2025-11-01 00:35:00,S2,32,34,110
2025-11-01 00:35:00,S3,53,37,93
2025-11-01 00:40:00,S1,46,76,136
2025-11-01 00:40:00,S2,39,85,112
2025-11-01 00:40:00,S3,69,69,132
2025-11-01 00:45:00,S1,78,49,82
2025-11-01 00:45:00,S2,57,85,128
2025-11-01 00:45:00,S3,79,72,94
2025-11-01 00:50:00,S1,42,38,91
2025-11-01 00:50:00,S2,74,57,133
2025-11-01 00:50:00,S3,60,74,91
2025-11-01 00:55:00,S1,55,36,89
2025-11-01 00:55:00,S2,26,33,129
2025-11-01 00:55:00,S3,50,52,109
2025-11-01 01:00:00,S1,54,46,96
2025-11-01 01:00:00,S2,72,73,145
2025-11-01 01:00:00,S3,79,83,144
2025-11-01 01:05:00,S1,56,74,141
2025-11-01 01:05:00,S2,60,35,113
2025-11-01 01:05:00,S3,22,59,90
2025-11-01 01:10:00,S1,72,79,116
2025-11-01 01:10:00,S2,47,70,97
2025-11-01 01:10:00,S3,71,84,133
2025-11-01 01:15:00,S1,79,83,81
2025-11-01 01:15:00,S2,62,49,88
2025-11-01 01:15:00,S3,30,48,123
2025-11-01 01:20:00,S1,67,79,141
2025-11-01 01:20:00,S2,67,63,148
2025-11-01 01:20:00,S3,32,58,110
2025-11-01 01:25:00,S1,26,85,148
2025-11-01 01:25:00,S2,77,85,98
2025-11-01 01:25:00,S3,49,73,141
2025-11-01 01:30:00,S1,39,32,142
2025-11-01 01:30:00,S2,47,44,106
2025-11-01 01:30:00,S3,70,40,276
2025-11-01 01:35:00,S1,29,86,95
2025-11-01 01:35:00,S2,77,81,124
2025-11-01 01:35:00,S3,52,64,101
2025-11-01 01:40:00,S1,53,89,107
2025-11-01 01:40:00,S2,29,40,101
2025-11-01 01:40:00,S3,24,77,80
2025-11-01 01:45:00,S1,48,82,106
2025-11-01 01:45:00,S2,59,52,116
2025-11-01 01:45:00,S3,28,54,91
2025-11-01 01:50:00,S1,59,55,134
2025-11-01 01:50:00,S2,78,30,140
2025-11-01 01:50:00,S3,24,32,75
2025-11-01 01:55:00,S1,66,87,105
2025-11-01 01:55:00,S2,70,40,136
2025-11-01 01:55:00,S3,49,72,138
2025-11-01 02:00:00,S1,56,77,127
2025-11-01 02:00:00,S2,50,50,105
2025-11-01 02:00:00,S3,42,32,118
2025-11-01 02:05:00,S1,53,47,136
2025-11-01 02:05:00,S2,27,72,93
2025-11-01 02:05:00,S3,26,37,139
2025-11-01 02:10:00,S1,22,84,83
2025-11-01 02:10:00,S2,37,53,148
2025-11-01 02:10:00,S3,58,41,141
2025-11-01 02:15:00,S1,23,35,125
2025-11-01 02:15:00,S2,75,47,129
2025-11-01 02:15:00,S3,73,61,84
2025-11-01 02:20:00,S1,66,70,118
2025-11-01 02:20:00,S2,25,80,94
2025-11-01 02:20:00,S3,30,87,137
2025-11-01 02:25:00,S1,55,87,110
2025-11-01 02:25:00,S2,75,42,92
2025-11-01 02:25:00,S3,34,34,105
2025-11-01 02:30:00,S1,74,78,100
2025-11-01 02:30:00,S2,43,66,125
2025-11-01 02:30:00,S3,61,62,95
2025-11-01 02:35:00,S1,34,59,133
2025-11-01 02:35:00,S2,69,83,143
2025-11-01 02:35:00,S3,54,70,117
2025-11-01 02:40:00,S1,46,37,148
2025-11-01 02:40:00,S2,65,87,140
2025-11-01 02:40:00,S3,48,68,113
2025-11-01 02:45:00,S1,54,49,99
2025-11-01 02:45:00,S2,46,35,84
2025-11-01 02:45:00,S3,28,72,135
2025-11-01 02:50:00,S1,53,59,146
2025-11-01 02:50:00,S2,72,78,88
2025-11-01 02:50:00,S3,90,64,247
2025-11-01 02:55:00,S1,43,70,112
2025-11-01 02:55:00,S2,50,72,94
2025-11-01 02:55:00,S3,26,33,91
2025-11-01 03:00:00,S1,23,89,138
2025-11-01 03:00:00,S2,41,63,105
2025-11-01 03:00:00,S3,66,63,95
2025-11-01 03:05:00,S1,63,69,92
2025-11-01 03:05:00,S2,74,45,133
2025-11-01 03:05:00,S3,60,89,93
2025-11-01 03:10:00,S1,35,72,145
2025-11-01 03:10:00,S2,31,88,103
2025-11-01 03:10:00,S3,61,78,126
2025-11-01 03:15:00,S1,27,85,115
2025-11-01 03:15:00,S2,91,88,229
2025-11-01 03:15:00,S3,40,70,106
2025-11-01 03:20:00,S1,39,41,120
2025-11-01 03:20:00,S2,55,41,96
2025-11-01 03:20:00,S3,87,61,211
2025-11-01 03:25:00,S1,76,83,147
2025-11-01 03:25:00,S2,36,41,114
2025-11-01 03:25:00,S3,22,36,136
2025-11-01 03:30:00,S1,47,54,133
2025-11-01 03:30:00,S2,40,48,95
2025-11-01 03:30:00,S3,57,42,116
2025-11-01 03:35:00,S1,40,34,107
2025-11-01 03:35:00,S2,43,73,112
2025-11-01 03:35:00,S3,78,88,116
2025-11-01 03:40:00,S1,78,87,99
2025-11-01 03:40:00,S2,52,55,90
2025-11-01 03:40:00,S3,56,53,147
2025-11-01 03:45:00,S1,43,52,97
2025-11-01 03:45:00,S2,64,41,141
2025-11-01 03:45:00,S3,41,84,143
2025-11-01 03:50:00,S1,35,41,126
2025-11-01 03:50:00,S2,64,33,120
2025-11-01 03:50:00,S3,13,65,59
2025-11-01 03:55:00,S1,72,60,129
2025-11-01 03:55:00,S2,53,82,85
2025-11-01 03:55:00,S3,27,78,112
2025-11-01 04:00:00,S1,59,63,89
2025-11-01 04:00:00,S2,42,85,88
2025-11-01 04:00:00,S3,47,32,121
2025-11-01 04:05:00,S1,78,80,134
2025-11-01 04:05:00,S2,40,76,135
2025-11-01 04:05:00,S3,48,32,139
2025-11-01 04:10:00,S1,48,71,107
2025-11-01 04:10:00,S2,62,50,103
2025-11-01 04:10:00,S3,50,80,119
2025-11-01 04:15:00,S1,30,59,130
2025-11-01 04:15:00,S2,33,44,85
2025-11-01 04:15:00,S3,65,79,140
2025-11-01 04:20:00,S1,30,69,125
2025-11-01 04:20:00,S2,37,68,109
2025-11-01 04:20:00,S3,97,67,280
2025-11-01 04:25:00,S1,36,31,144
2025-11-01 04:25:00,S2,79,59,83
2025-11-01 04:25:00,S3,43,61,146
2025-11-01 04:30:00,S1,67,63,92
2025-11-01 04:30:00,S2,61,81,109
2025-11-01 04:30:00,S3,47,82,115
2025-11-01 04:35:00,S1,46,73,95
2025-11-01 04:35:00,S2,36,34,128
2025-11-01 04:35:00,S3,61,56,88
2025-11-01 04:40:00,S1,49,66,114
2025-11-01 04:40:00,S2,36,81,142
2025-11-01 04:40:00,S3,51,84,113
2025-11-01 04:45:00,S1,26,82,102
2025-11-01 04:45:00,S2,39,43,121
2025-11-01 04:45:00,S3,63,53,95
2025-11-01 04:50:00,S1,89,54,214
2025-11-01 04:50:00,S2,27,83,87
2025-11-01 04:50:00,S3,51,45,60
2025-11-01 04:55:00,S1,42,55,143
2025-11-01 04:55:00,S2,22,42,110
2025-11-01 04:55:00,S3,50,57,94
2025-11-01 05:00:00,S1,41,66,147
2025-11-01 05:00:00,S2,39,52,20
2025-11-01 05:00:00,S3,45,30,86
2025-11-01 05:05:00,S1,46,60,103
2025-11-01 05:05:00,S2,54,36,123
2025-11-01 05:05:00,S3,46,39,91
2025-11-01 05:10:00,S1,53,31,107
2025-11-01 05:10:00,S2,57,68,81
2025-11-01 05:10:00,S3,73,51,105
2025-11-01 05:15:00,S1,28,30,113
2025-11-01 05:15:00,S2,45,47,138
2025-11-01 05:15:00,S3,70,68,107
2025-11-01 05:20:00,S1,39,83,139
2025-11-01 05:20:00,S2,39,68,96
2025-11-01 05:20:00,S3,67,52,80
2025-11-01 05:25:00,S1,66,32,81
2025-11-01 05:25:00,S2,71,73,113
2025-11-01 05:25:00,S3,63,43,80
2025-11-01 05:30:00,S1,65,81,108
2025-11-01 05:30:00,S2,56,30,95
2025-11-01 05:30:00,S3,50,49,96
2025-11-01 05:35:00,S1,49,61,140
2025-11-01 05:35:00,S2,52,63,149
2025-11-01 05:35:00,S3,51,63,90
2025-11-01 05:40:00,S1,61,65,83
2025-11-01 05:40:00,S2,69,30,80
2025-11-01 05:40:00,S3,29,66,92
2025-11-01 05:45:00,S1,43,32,119
2025-11-01 05:45:00,S2,77,89,121
2025-11-01 05:45:00,S3,89,87,221
2025-11-01 05:50:00,S1,57,31,101
2025-11-01 05:50:00,S2,78,38,139
2025-11-01 05:50:00,S3,43,51,98
2025-11-01 05:55:00,S1,62,57,131
2025-11-01 05:55:00,S2,64,58,87
2025-11-01 05:55:00,S3,62,81,132
2025-11-01 06:00:00,S1,59,86,123
2025-11-01 06:00:00,S2,71,87,114
2025-11-01 06:00:00,S3,12,32,53
2025-11-01 06:05:00,S1,63,80,137
2025-11-01 06:05:00,S2,47,40,108
2025-11-01 06:05:00,S3,22,87,92
2025-11-01 06:10:00,S1,70,61,144
2025-11-01 06:10:00,S2,99,77,312
2025-11-01 06:10:00,S3,29,50,117
2025-11-01 06:15:00,S1,75,51,128
2025-11-01 06:15:00,S2,24,72,93
2025-11-01 06:15:00,S3,26,55,145
2025-11-01 06:20:00,S1,26,65,90
2025-11-01 06:20:00,S2,77,79,83
2025-11-01 06:20:00,S3,25,59,110
2025-11-01 06:25:00,S1,65,69,99
2025-11-01 06:25:00,S2,33,63,146
2025-11-01 06:25:00,S3,72,33,146
2025-11-01 06:30:00,S1,64,69,126
2025-11-01 06:30:00,S2,27,41,81
2025-11-01 06:30:00,S3,70,35,130
2025-11-01 06:35:00,S1,25,70,108
2025-11-01 06:35:00,S2,70,51,87
2025-11-01 06:35:00,S3,45,30,82
